coordinates,created_at,hashtags,media,urls,favorite_count,id,in_reply_to_screen_name,in_reply_to_status_id,in_reply_to_user_id,lang,place,possibly_sensitive,quote_id,retweet_count,retweet_id,retweet_screen_name,source,text,tweet_url,user_created_at,user_id,user_default_profile_image,user_description,user_favourites_count,user_followers_count,user_friends_count,user_listed_count,user_location,user_name,user_screen_name,user_statuses_count,user_time_zone,user_urls,user_verified
,Tue Apr 12 08:30:04 +0000 2022,,https://twitter.com/Sarah_Cordiner/status/1513796580507275267/photo/1,https://bit.ly/2SfLK8D,0,1.5138E+18,,,,en,,FALSE,,0,,,"<a href=""https://buffer.com"" rel=""nofollow"">Buffer</a>","Online courses have literally changed and have saved my life…AND they even have the power to save the WORLD!!  

Even the World Health Organisation are using online courses as weapon to save the world from the Coronavirus pandemic!

https://t.co/klFhWEszUr https://t.co/K3LWF4PpGS",https://twitter.com/Sarah_Cordiner/status/1513796580507275267,Thu Sep 25 06:29:25 +0000 2014,2831243034,FALSE,Education Consultant and Ed Tech Founder / Adult Ed Speaker & Author   https://t.co/MXC0QdPDqy and https://t.co/uewhnv6Lj1,80271,8797,8740,196,"Perth, Western Australia",Sarah Cordiner,Sarah_Cordiner,5666,,http://www.sarahcordiner.com,FALSE
,Tue Apr 12 19:05:36 +0000 2022,NoVaccineMandates,,https://twitter.com/arthur_samuels/status/1513871753721823233,5,1.51396E+18,,,,en,"Manhattan, NY",FALSE,1.51387E+18,0,,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","“…currently only 53% of DOE students are fully vaccinated against COVID…. This means that if Williams and Lander have their way, the only alternative for unvaccinated students…would be remote school, the inferiority of which is well-documented.” 

#NoVaccineMandates https://t.co/sarDVLRL6N",https://twitter.com/ycinnewyork/status/1513956519041187851,Wed Feb 25 04:05:25 +0000 2009,21834808,FALSE,"Immigrant, ESL, BxSci, Pres Asian Wave, Cofounder PLACE, Advisor FinalFive, FAIR Board, exCEC1. @asianwave_org @placenyc_org @finalfiveNYC; Tweets mine.",25600,8086,1164,43,"New York, NY",Yiatin Chu,ycinnewyork,6686,,http://asianwavealliance.org,FALSE
,Mon Apr 11 23:30:00 +0000 2022,,,,4,1.51366E+18,rosiestacie,1.51349E+18,7.73501E+17,en,,,,0,,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",@rosiestacie When COVID started students asked for take home exams to minimize cheating during virtual exams. Admin responded that “academic integrity is expected” and the format of the exam shouldn’t change that/we shouldn’t worry about cheating. Admin loves flipping narratives to suit them.,https://twitter.com/jocelyn_heaton/status/1513660666707595264,Fri Oct 27 22:45:46 +0000 2017,9.24044E+17,FALSE,@osgoodenews JD | @mcmasteru BA | Incoming Articling Student @derstinepenman | (she/her),4538,215,362,1,,Jocelyn Heaton,jocelyn_heaton,447,,,FALSE
,Mon Apr 11 08:35:21 +0000 2022,,,https://twitter.com/ANINewsUP/status/1513368733364162561,0,1.51344E+18,,,,en,,FALSE,1.51337E+18,0,,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Uttar Pradesh Ghaziabad to student positive covid online class https://t.co/qqPvdB1HBM,https://twitter.com/Mohamme50986987/status/1513435522303094785,Sun Nov 14 15:43:22 +0000 2021,1.45991E+18,FALSE,,15,0,123,0,,naseermohammedkhan,Mohamme50986987,147,,,FALSE
,Mon Apr 11 22:00:01 +0000 2022,,,https://na.eventscloud.com/website/36868/,1,1.51364E+18,,,,en,,FALSE,,0,,,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","Sascha A. Tuchman (@stuchman1), MD, MHS, and Samuel Rubinstein (@rubinstein_md), MD, MSCI, are leading a free Leukemia &amp; Lymphoma Society virtual education program for patients, families, and caregivers about myeloma and outcomes of COVID-19. Register: https://t.co/oGUDTnwGrT",https://twitter.com/UNC_Lineberger/status/1513638022889160705,Wed May 20 15:41:56 +0000 2009,41383002,FALSE,"North Carolina's only public comprehensive cancer center, serving patients at the N.C. Basnight Cancer Hospital. Today's best care. Tomorrow's best hope.",3147,7142,936,215,"Chapel Hill, NC",UNC Lineberger,UNC_Lineberger,5403,,http://unclineberger.org,FALSE
,Mon Apr 11 23:37:46 +0000 2022,,,https://twitter.com/Forbes/status/1513654142937485312,0,1.51366E+18,,,,en,,FALSE,1.51365E+18,0,,,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","Hybrid will be the new work style.

Rialto USD is ready to meet the need. 

2010: We are behind on creating our own on-demand lesson library. I told some teacher friends that education would require remote teaching within 20 years. COVID=NOW! https://t.co/v8ucrLek8C",https://twitter.com/vxjoe/status/1513662624629616641,Mon Dec 07 08:09:03 +0000 2009,95160538,FALSE,I am a Digital Leader and catalyst for positive change. Area Trustee for the Rialto USD. 2022 marks 36 yrs in Educational IT and 50 yrs in Tech. 73 de AJ6OE.,374,622,237,185,Rialto CA 92376,Joe Martinez Mr STEM,vxjoe,83552,,http://www.JoeMartinez.org,FALSE
,Mon Apr 11 06:16:06 +0000 2022,,,,0,1.5134E+18,,,,en,,,,0,,,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","@SeanMaths4EAL @aimscott8 @VictorianCHO @JonesHowdareyou Used remote learning for many years. Exceptional teachers and supportive practices and guess what?

No Covid!",https://twitter.com/EdmJbg/status/1513400478536638466,Mon May 23 06:28:02 +0000 2016,7.34632E+17,FALSE,All schools / staff must safeguard children's physical and emotional wellbeing. New policies are needed to protect kids mental health & human rights in schools!,111442,4277,3645,36,World,SCHOOL KIDS RIGHTS,EdmJbg,85384,,,FALSE
,Mon Apr 11 21:44:49 +0000 2022,,,,2,1.51363E+18,,,,en,,,,1,,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Sometimes I feel like COVID robbed me of a college experience, but then I hear people spilling all their tea and drama on campus and realize I don’t like people and I miss online learning 😂",https://twitter.com/Sunnyjuliaa/status/1513634196610199554,Sun Feb 24 04:30:47 +0000 2013,1214475871,FALSE,𝒘𝒉𝒊𝒕𝒕𝒆𝒓 𝒗𝒃 ♡ 𝒍𝒊𝒗𝒆 𝒇𝒐𝒓 𝒕𝒐𝒅𝒂𝒚 ☻,8239,280,405,1,,𝘫𝘶𝘭𝘪𝘢,Sunnyjuliaa,696,,,FALSE
,Tue Apr 12 10:08:50 +0000 2022,,,,0,1.51382E+18,,,,en,,,,0,,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Ontario is a fucking mess.  Bring back online school for the kids @tdsb   I promise that my kids will not be going back to school until @Sflecce figures out how to bring case counts down.  Lecce, if you are reading this, this covid shit is on your a$$. Nobody else but you.",https://twitter.com/TheCommercialRE/status/1513821434761654276,Mon Dec 06 04:00:24 +0000 2010,223350725,FALSE,My views from the6✌🏻commercial real estate talk and diehard #RaptorsFan  🇨🇦💙💛🇺🇦,17836,1842,1798,52,Toronto,CommercialRE,TheCommercialRE,14364,,,FALSE
,Tue Apr 12 15:00:57 +0000 2022,,,,2,1.51389E+18,samant_uday,1.51389E+18,1.15613E+18,en,,,,3,,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","@samant_uday Corona is not reason we can understand
Let's concider the time frame to manage all the stuff like studies insem oral practical etc requesting you to give us option for online exam",https://twitter.com/ImNiteen116/status/1513894950613942272,Tue Mar 29 17:20:56 +0000 2022,1.50886E+18,FALSE,#Mechanical Engineer,466,2,33,0,,Niteen Jadhav,ImNiteen116,14,,,FALSE
